	group_name	protein_count	species_count	functional_category	functional_description	metagenome_sample_count	asf_species
5391	ENOG4108M34	13	12	S		3	A356
5392	ENOG4108M37	19	16	U	Conjugal transfer protein TrbJ	6	A457
5393	ENOG4108M39	4	4	S	Glycoside hydrolase 97  	14	A519
5394	ENOG410818N	24	21	S	Snare associated golgi protein	2	A500
5395	ENOG410818D	124	122	H	dihydroneopterin aldolase	15	A519
5396	ENOG4108P7Z	7	4	S	Ragb susd domain-containing protein	7	A519
5397	ENOG4105GM0	15	15	S		3	A356
5398	ENOG4105GMQ	127	126	S	RNA polymerase Rpb6 	15	A519
5399	ENOG4105GMT	307	239	S	ATPase associated with various cellular activities aaa_5	13	A500
5400	ENOG4105GMN	25	19	S		14	A519
5401	ENOG4105GMC	19	19	S		4	A500
5402	ENOG41083R9	42	41	T	FHA domain	11	A502
5403	ENOG410638X	31	30	S	Protein of unknown function (DUF2982)	3	A457
5404	ENOG410638C	141	105	S	tail fiber protein	12	A356
5405	ENOG4108P9V	5	5	G	Bacterial extracellular solute-binding protein, family 7	12	A502
5406	ENOG4105YK0	24	24	S		13	A519
5407	ENOG4108MIU	10	9	S	SusD family	11	A519
5408	ENOG4108MIQ	222	156	K	AraC Family Transcriptional Regulator	15	A519
5409	ENOG4106P6S	2	2	S		6	A492
5410	ENOG4106P6E	3	3	S		5	A356
5411	ENOG4108N8J	129	128	M	outer membrane assembly lipoprotein yfio	15	A519
5412	ENOG4108N8M	16	16	S		13	A500
5413	ENOG4108N8P	35	33	L	Crispr-associated ramp protein	10	A492
5414	ENOG4108N8V	20	19	S		4	A519
5415	ENOG4107MMS	2	2	K	HTH_XRE	7	A360
5416	ENOG4107MMU	2	2	S	Protein of unknown function (DUF1049)	8	A519
5417	ENOG4108ECZ	17	16	V	FtsX-like permease family	14	A457
5418	ENOG4107ZIA	11	11	U	Type II secretion system	14	A502
5419	ENOG4105WBK	26	25	S	Nitroreductase	4	A360
5420	ENOG4105WBM	199	196	S	Protein of unknown function (DUF1232)	13	A519
5421	ENOG4105WBC	12	12	S		9	A361
5422	ENOG4105H0T	67	62	M	rifampin adp-ribosyl transferase	14	A356
5423	ENOG41062KG	9	9	S		13	A500
5424	ENOG41062KA	69	61	M	polysaccharide biosynthesis protein	14	A492
5425	ENOG41062KM	27	26	S	copper chaperone	12	A500
5426	ENOG41062KH	8	8	S		13	A492
5427	ENOG41062K2	66	66	S	PAP2 superfamily domain protein	15	A519
5428	ENOG4106S60	20	20	S		15	A519
5429	ENOG4106QZ7	8	8	S		8	A356
5430	ENOG4106QZA	57	48	S	lipolytic protein G-D-S-L family	15	A519
5431	ENOG4105TF6	11	11	S		7	A519
5432	ENOG41073B6	3	3	S		8	A356
5433	ENOG41066WH	7	7	S		13	A492
5434	ENOG4108RUE	95	94	S	ErfK ybiS ycfS ynhG family protein	11	A457
5435	ENOG4108RUG	9	9	M	glycosyl transferase group 1	15	A519
5436	ENOG4108RUR	69	18	L	transposase	11	A502
5437	ENOG4108RU5	18	18	S		13	A519
5438	ENOG4108RU7	28	22	S	Replication initiator protein A	14	A500
5439	ENOG4108RU2	145	131	M	n-acetylmuramoyl-l-alanine amidase	12	A492
5440	ENOG4105XK6	4	4	S		7	A492
5441	ENOG4106H1H	23	15	T	Histidine kinase	14	A519
5442	ENOG4106NIT	6	6	V	ABC transporter transmembrane region	12	A492
5443	ENOG4106NIX	4	4	S		6	A492
5444	ENOG4105MR0	9	9	S		13	A492
5445	ENOG4106XWK	22	22	V	restriction -modification system	13	A502
5446	ENOG4108FC5	3	3	S		10	A457
5447	ENOG41063SU	15	15	S		10	A502
5448	ENOG41063S2	9	7	S		5	A502
5449	ENOG41084IJ	9	9	S	Protein of unknown function (DUF454)	14	A519
5450	ENOG41084I7	42	33	M	Alpha-galactosidase. Removes both branched alpha-1,3- linked galactose residues of blood group B antigens and linear alpha-1,3-linked galactose structures	15	A519
5451	ENOG4106K7N	5	4	G	Glycosyl hydrolases family 2	11	A519
5452	ENOG4105KIS	98	89	S	phospholipid-binding protein	14	A360
5453	ENOG4107D3G	3	3	S		7	A500
5454	ENOG4107D3W	3	3	S		3	A457
5455	ENOG4105FZD	59	48	S	peptidase, S41	13	A519
5456	ENOG4105FZN	187	165	M	Glycosyl transferase (Group 1	15	A519
5457	ENOG4105FZH	27	20	S		13	A500
5458	ENOG41080PS	2	2	J	Acetyltransferase (GNAT) family	3	A360
5459	ENOG4105BZX	420	338	F	nudix hydrolase	15	A519
5460	ENOG4105BZ6	1621	1132	E	Presumably involved in the processing and regular turnover of intracellular proteins. Catalyzes the removal of unsubstituted N-terminal amino acids from various peptides (By similarity)	14	A457
5461	ENOG4105BZ7	522	384	G	extracellular solute-binding protein family 1	13	A502
5462	ENOG410828M	54	43	P	hemerythrin-like, metal-binding protein	13	A492
5463	ENOG4107SSE	8	8	P	Sulfatase	15	A500
5464	ENOG4107SSV	4	4	S		10	A457
5465	ENOG4107SSS	7	7	L	crispr-associated protein	12	A502
5466	ENOG4107SSZ	137	133	E	Phosphatase	13	A356
5467	ENOG4107SS6	258	225	G	2-dehydro-3-deoxygluconokinase	6	A519
5468	ENOG4108S1H	9	8	S	abc transporter, atp-binding protein	4	A360
5469	ENOG4106EMP	16	14	S	CsbD-like	10	A360
5470	ENOG4106EM5	5	5	K	HTH_LUXR	10	A519
5471	ENOG4107ZTC	16	15	D	Inherit from COG: neuromuscular junction development	14	A502
5472	ENOG4107ZTP	3	3	S	Inherit from NOG: Swim zinc finger	9	A356
5473	ENOG4107AIF	3	3	S		2	A492
5474	ENOG4107AI1	2	2	S		7	A492
5475	ENOG4105RXH	38	38	S	Membrane	2	A492
5476	ENOG410608F	14	13	S	nerd domain protein	12	A457
5477	ENOG410608D	18	14	S	DNA binding domain	15	A519
5478	ENOG410608B	325	276	N	Ompa motb domain protein	15	A519
5479	ENOG4106088	12	12	M	outer membrane chaperone Skp (OmpH)	6	A492
5480	ENOG4106AZM	4	4	S		10	A356
5481	ENOG4106AZW	21	14	S	Hepn domain protein	10	A502
5482	ENOG4106AZ7	4	3	S		3	A492
5483	ENOG41078EY	2	2	S		6	A356
5484	ENOG41078E7	2	2	S		4	A360
5485	ENOG4107JVM	2	2	S		3	A360
5486	ENOG4108HSY	3	3	C	Biotin-requiring enzyme	8	A519
5487	ENOG4108HSQ	2	2	P		10	A361
5488	ENOG41069W3	38	33	S	DNA polymerase beta domain protein region	15	A502
5489	ENOG4107UU2	10	7	U	Plasmid transfer factor, traG	12	A500
5490	ENOG41079PW	2	2	S		2	A492
5491	ENOG41079P3	3	2	S		9	A502
5492	ENOG41085UB	8	8	S	Metal Dependent Phosphohydrolase	3	A500
5493	ENOG41085UA	3	3	N	flagellar hook-basal body complex protein fliE	11	A492
5494	ENOG41065DN	6	6	S		3	A457
5495	ENOG41065DK	3	3	S		6	A519
5496	ENOG4105G0D	176	105	K	RNA polymerase	15	A519
5497	ENOG41078MI	2	2	S		4	A500
5498	ENOG4105EX6	283	245	S		15	A519
5499	ENOG4105EX5	135	133	G	Major Facilitator Superfamily	9	A500
5500	ENOG4105EX1	29	29	S	integral membrane protein	11	A361
5501	ENOG41078MG	4	2	S	exported protein	9	A361
5502	ENOG4105EXW	337	305	GM	epimerase dehydratase	15	A519
5503	ENOG4105EXT	4	4	P	TonB dependent receptor	14	A519
5504	ENOG4105EXP	25	16	S	domain protein	15	A519
5505	ENOG4105EXK	19	19	S		14	A492
5506	ENOG4105SKC	3	3	S		7	A500
5507	ENOG410600T	582	142	L	transposase	15	A492
5508	ENOG41086JJ	15	15	S		14	A502
5509	ENOG4107KAP	2	2	S	Male sterility protein	5	A519
5510	ENOG4108BGT	2	2	D	CrcB-like protein	2	A500
5511	ENOG4108BGR	2	2	S		14	A500
5512	ENOG4108BGM	183	171	C	Quinol dehydrogenase periplasmic component	12	A457
5513	ENOG4106FTW	10	9	S		6	A500
5514	ENOG4106FTS	3	3	S		9	A500
5515	ENOG4107M7J	2	2	S		6	A502
5516	ENOG41060JD	15	15	S		8	A519
5517	ENOG4108GXQ	3	3	T		4	A502
5518	ENOG4105KVM	12	11	T	Adenylate guanylate Cyclase	6	A356
5519	ENOG4105KV4	173	165	K	Transcriptional regulator	5	A361
5520	ENOG4105Y17	4	4	S	Transglycosylase associated protein	15	A519
5521	ENOG4108MB0	57	52	EM	N-acetylneuraminate lyase	14	A519
5522	ENOG4108MBH	35	32	S		3	A500
5523	ENOG4105FM5	18	15	S	Methyltransferase	11	A519
5524	ENOG4105FM3	82	73	G	endo-beta-N-acetylglucosaminidase	15	A492
5525	ENOG4105FMV	5	4	L	site-specific recombinase, phage integrase family	14	A502
5526	ENOG4105FMT	5	4	S		14	A500
5527	ENOG4105FMR	39	39	S	WLM domain	15	A519
5528	ENOG4105FMZ	33	33	V	Restriction modification system DNA specificity	9	A457
5529	ENOG41080E0	5	5	L	SNF2 family N-terminal domain	15	A519
5530	ENOG41080E7	4	4	Q	Inherit from COG: Antioxidant protein with alkyl hydroperoxidase activity. Required for the reduction of the AhpC active site cysteine residues and for the regeneration of the AhpC enzyme activity (By similarity)	14	A361
5531	ENOG41080EQ	36	31	K	transcriptional regulator DeoR family	15	A361
5532	ENOG41080EZ	16	16	S	Pfam:DUF156	11	A356
5533	ENOG4107Q42	2	2	S		3	A492
5534	ENOG4107SDK	56	56	G	carbohydrate kinase FGGY	15	A519
5535	ENOG4107SDT	114	95	E	Homocitrate synthase	14	A356
5536	ENOG4107SDR	8	8	E	Cysteine desulfurase family protein	13	A502
5537	ENOG4107SDQ	5	5	S	Protein of unknown function DUF43	6	A500
5538	ENOG4107SD1	69	51	NT	Methyl-accepting chemotaxis	12	A457
5539	ENOG4107SD9	14	13	E	na solute symporter	13	A519
5540	ENOG4106B3T	3	3	S		4	A361
5541	ENOG4106B3U	12	12	S		10	A361
5542	ENOG4106B3V	10	9	S		6	A457
5543	ENOG4106B3P	3	3	S		8	A500
5544	ENOG4106PAW	15	15	S	secretion accessory protein EsaA YueB	6	A361
5545	ENOG4106WKN	11	6	S	TPR-repeat-containing protein	15	A519
5546	ENOG4106EXQ	4	4	S	ATP synthase I chain	4	A457
5547	ENOG4108ARD	4	4	S		11	A502
5548	ENOG41085F6	15	15	J	50S ribosomal protein L30	12	A500
5549	ENOG4106AA2	12	12	S		4	A356
5550	ENOG4108HH5	19	19	G	phosphoglycerate mutase family protein	11	A502
5551	ENOG4108HHW	16	15	P	Major Facilitator	8	A360
5552	ENOG4107G55	4	4	S		6	A519
5553	ENOG4108MK9	274	252	J	spermidine N(1)-acetyltransferase	13	A492
5554	ENOG41073EA	2	2	S		9	A502
5555	ENOG4108MK2	11	11	S		11	A356
5556	ENOG4108MK4	22	22	K	Transcriptional regulatory protein, C-terminal domain protein	13	A502
5557	ENOG4108MKR	44	43	S	lipoprotein lpqb	5	A500
5558	ENOG4108MKI	133	114	M	Glycosyl transferase, family 2	14	A361
5559	ENOG4107UAB	8	6	S		13	A502
5560	ENOG4108T7J	65	65	S	ABC-2 type transporter	12	A502
5561	ENOG4108T8S	5	4	M	Glycosyl transferase, family 2	9	A457
5562	ENOG4107TB6	164	138	G	phosphoglycerate mutase	10	A356
5563	ENOG4107TBF	48	48	P	Catalyzes the synthesis of activated sulfate (By similarity)	13	A519
5564	ENOG4107TBB	7	7	P	MgtE intracellular region	2	A361
5565	ENOG4107TBS	142	140	E	Shikimate dehydrogenase	15	A519
5566	ENOG4107TBP	43	41	G	PTS System	14	A492
5567	ENOG4105EEU	38	34	S	NDP-hexose 2,3-dehydratase	10	A519
5568	ENOG4105EEG	55	54	F	adenosine deaminase	7	A519
5569	ENOG41078GN	3	3	S		10	A500
5570	ENOG41078G0	147	146	L	8-oxoguanine DNA glycosylase	15	A356
5571	ENOG41061HM	11	10	S		9	A356
5572	ENOG41061HJ	7	7	S	Accessory Sec system protein Asp3	8	A361
5573	ENOG4107Y3R	4	4	S	EamA-like transporter family	8	A457
5574	ENOG4105WGV	12	10	K	helix-turn-helix domain-containing protein	13	A519
5575	ENOG4105WG6	106	104	J	RNaseP catalyzes the removal of the 5'-leader sequence from pre-tRNA to produce the mature 5'-terminus. It can also cleave other RNA substrates such as 4.5S RNA. The protein component plays an auxiliary but essential role in vivo by binding to the 5'-leader sequence and broadening the substrate specificity of the ribozyme (By similarity)	15	A519
5576	ENOG4108BPZ	2	2	S	Pfam:Exonuc_X-T	4	A356
5577	ENOG4108BPP	133	107	I	Alpha beta hydrolase fold	15	A519
5578	ENOG4108BP3	3	3	S		8	A519
5579	ENOG4108SBM	31	30	K	Iclr family transcriptional regulator	2	A519
5580	ENOG4108SBD	8	8	S		13	A457
5581	ENOG4108SB7	97	92	I	Esterase lipase	12	A360
5582	ENOG4106FAW	8	7	M		11	A492
5583	ENOG4106FA6	15	15	S	Colicin v production protein	9	A360
5584	ENOG4106FA9	12	9	S	Mor transcription activator family	13	A361
5585	ENOG4107DYI	59	44	S	Conjugative transposon TraK protein	15	A519
5586	ENOG4105F0B	115	78	S	NHL repeat containing protein	13	A519
5587	ENOG4105F0H	81	74	G	myo-inositol catabolism protein	13	A356
5588	ENOG4105F0T	143	79	P	Sulfatase	15	A502
5589	ENOG4105F0Q	64	60	L	methylase	14	A457
5590	ENOG4105F0R	357	309	M	Cytidylyltransferase	15	A492
5591	ENOG4106374	19	19	S		11	A519
5592	ENOG4105R5B	10	9	S		11	A519
5593	ENOG4105R5X	14	14	S	HTH_XRE	14	A502
5594	ENOG41060WP	149	127	S	Patatin family	7	A519
5595	ENOG41060WQ	3	3	S		7	A457
5596	ENOG41060WE	9	7	S		15	A361
5597	ENOG41060WA	20	19	U	Conjugal transfer protein	5	A457
5598	ENOG41060W8	36	36	S	Lipopolysaccharide transport periplasmic protein LptA	10	A457
5599	ENOG41076FP	4	4	S		13	A519
5600	ENOG4107TIB	39	39	EH	Dehydrogenase	15	A519
5601	ENOG4106WVI	2	2	S		7	A502
5602	ENOG4106WVE	2	2	S		6	A492
5603	ENOG4106WVS	2	2	S		14	A519
5604	ENOG4106E71	4	4	S		13	A519
5605	ENOG4105JIV	34	34	S		15	A519
5606	ENOG4105JI4	48	45	S	Uncharacterised protein family (UPF0104)	4	A500
5607	ENOG4105JI2	13	12	S	GtrA family	14	A492
5608	ENOG4105JI8	16	14	S		14	A492
5609	ENOG4106XK3	12	12	S		10	A361
5610	ENOG4107RWA	101	86	P	tonB-dependent Receptor	15	A519
5611	ENOG4107RWD	52	52	H	Catalyzes the condensation of pantoate with beta-alanine in an ATP-dependent reaction via a pantoyl-adenylate intermediate (By similarity)	15	A519
5612	ENOG4107RWW	5	5	H	Uroporphyrinogen decarboxylase (URO-D)	6	A502
5613	ENOG4107RW7	3	3	M	pfkB family carbohydrate kinase	3	A457
5614	ENOG4107RW8	27	27	V	Mate efflux family protein	15	A519
5615	ENOG4105X3F	9	6	S		7	A356
5616	ENOG4105X3M	77	77	C	ATP synthase, subunit F	13	A502
5617	ENOG4105X36	170	165	J	(ribosomal) protein	9	A361
5618	ENOG4107EJE	22	22	S	Inherit from COG: Membrane	14	A502
5619	ENOG4105QXC	19	19	S		14	A519
5620	ENOG4107P4U	7	6	S		5	A502
5621	ENOG4105QJQ	9	9	S		10	A361
5622	ENOG4105QJH	78	72	S	Domain of unknown function (DUF718)	14	A519
5623	ENOG4106C56	24	20	S	RagB SusD domain-containing protein	15	A519
5624	ENOG4106C50	4	4	S		7	A502
5625	ENOG41065ZP	8	7	S		11	A492
5626	ENOG4106C5S	4	4	S		8	A457
5627	ENOG4105W6Q	5	5	S		12	A519
5628	ENOG4105ZP6	23	21	K	Transcriptional regulator	1	A519
5629	ENOG4105ZPI	77	76	S	UPF0358 protein	9	A361
5630	ENOG4105ZPN	10	9	S		4	A500
5631	ENOG4105ZPW	11	9	S		12	A356
5632	ENOG41067XM	25	20	S	Allergen V5 TPX-1	11	A500
5633	ENOG4108IW1	3	3	S	Inherit from COG: hemerythrin hhe cation binding domain protein	11	A457
5634	ENOG4107TU8	94	67	M	Export protein	15	A519
5635	ENOG41086YT	8	8	M	Rod shape-determining protein	2	A457
5636	ENOG4105UGP	24	22	K	Transcriptional regulator AbrB family	15	A492
5637	ENOG4105IY2	9	9	S	Toxic component of a toxin-antitoxin (TA) module. A	3	A502
5638	ENOG4105IY9	7	6	K	RNA Polymerase	11	A519
5639	ENOG4105UGB	17	13	K	Inherit from NOG: Transcriptional regulator	4	A361
5640	ENOG4108ZFE	87	87	T	Histidine kinase	14	A519
5641	ENOG4108ZFB	14	14	S	Uncharacterised protein family (UPF0093)	2	A457
5642	ENOG4108ZFN	25	24	S		13	A492
5643	ENOG4108ZFK	133	102	K	Gcn5-related n-acetyltransferase	6	A502
5644	ENOG4108ZFZ	6	6	S		2	A361
5645	ENOG4105VDF	3	3	S	Protein of unknown function (DUF721)	4	A457
5646	ENOG4108P7M	5	5	S	SusD family	7	A519
5647	ENOG4108SYY	18	17	S		15	A519
5648	ENOG4108SY3	36	23	S	Heparinase II III-like protein	13	A519
5649	ENOG4108U1G	27	23	V	type I restriction modification DNA specificity domain protein	13	A457
5650	ENOG4108U1E	10	10	S	Tim44-like domain	3	A502
5651	ENOG4108U1M	12	11	O	Antioxidant, AhpC TSA family	14	A519
5652	ENOG4108U1W	30	29	K	Transcriptional regulator	9	A519
5653	ENOG4108G24	3	3	S		3	A361
5654	ENOG4108G2I	48	44	G	Major Facilitator	1	A360
5655	ENOG4108X9M	9	9	S		5	A502
5656	ENOG4108X9A	4	4	S	Domain of unknown function (DUF1905)	4	A492
5657	ENOG4108X9T	12	11	S	secreted protein, containing von Willebrand factor (VWF) type A domain	7	A492
5658	ENOG4108X96	29	27	S	Phage-related protein	11	A361
5659	ENOG4105PHR	38	38	S	Lipoprotein	15	A519
5660	ENOG4105PHU	17	13	L	RNA-directed DNA polymerase	14	A502
5661	ENOG4105PHB	103	88	K	Transcriptional regulator	12	A492
5662	ENOG4105PHC	45	44	G	abc transporter integral membrane protein	14	A500
5663	ENOG4106PH3	2	2	M	Collagen binding domain	5	A360
5664	ENOG4106GVD	3	3	S		2	A500
5665	ENOG4106ZYY	33	24	S		12	A492
5666	ENOG41076X8	2	2	S		10	A519
5667	ENOG4107RBD	71	69	P	ABC, transporter	8	A457
5668	ENOG4107RBI	57	55	V	VanW family	11	A500
5669	ENOG4107RBP	90	73	K	Transcriptional regulator	14	A492
5670	ENOG4107RB2	2	2	KL	Helicase conserved C-terminal domain	15	A519
5671	ENOG41087UD	3	3	S		3	A360
5672	ENOG41087U6	3	3	S		8	A500
5673	ENOG41087U3	4	4	S		13	A502
5674	ENOG41083RA	3	3	S	Relaxase/Mobilisation nuclease domain 	5	A502
5675	ENOG4105E0W	46	35	S	Conjugative transposon TraM protein	15	A519
5676	ENOG4105E0T	284	217	S	Short-chain dehydrogenase reductase Sdr	9	A502
5677	ENOG4108PYJ	220	213	S	membrane	11	A457
5678	ENOG4108TYW	6	6	S	short chain dehydrogenase	4	A361
5679	ENOG4108TYB	12	12	S		12	A356
5680	ENOG4106V28	8	8	S		10	A457
5681	ENOG4106V2S	5	5	K	HTH_XRE	7	A492
5682	ENOG4106V2K	3	2	L	DnaB domain protein helicase domain protein	4	A492
5683	ENOG4107YN7	3	3	G	BNR/Asp-box repeat	7	A519
5684	ENOG4107YNU	3	3	S	Radical SAM superfamily	11	A457
5685	ENOG4107YNI	16	14	P	Periplasmic binding protein	12	A500
5686	ENOG4107YND	38	36	S	lmbE family	13	A502
5687	ENOG4108IJF	1111	479	P	Heavy metal efflux pump, CzcA	15	A519
5688	ENOG4105UVH	5	5	S		2	A519
5689	ENOG4105UN6	8	8	K	Transcriptional regulator, TetR family	3	A502
5690	ENOG4105GM9	32	28	S	Membrane	10	A457
5691	ENOG4106XIU	3	3	S		5	A500
5692	ENOG4106RYJ	2	2	S		10	A519
5693	ENOG4106RYY	5	5	S		3	A502
5694	ENOG4105ZUY	19	19	S	Protein of unknown function (DUF402)	13	A356
5695	ENOG4105ZUT	16	16	S	TadE family	4	A356
5696	ENOG4106CJK	7	7	S		12	A519
5697	ENOG4108ZSK	25	25	S	HAD hydrolase, family IA, variant 3	13	A519
5698	ENOG4108ZSG	7	7	S		9	A492
5699	ENOG4107WNC	8	8	S	Domain of unknown function (DUF368)	6	A500
5700	ENOG41067Z4	127	111	S	Inherit from NOG: Membrane	14	A356
5701	ENOG41075D9	4	2	L	Transposase, IS605 family, OrfA	2	A492
5702	ENOG41066NV	8	6	M	Peptidase family M23	11	A457
5703	ENOG4105DRZ	88	80	S		12	A500
5704	ENOG4105DRU	80	71	E	peptidase, M20	13	A502
5705	ENOG4105DRP	915	695	E	amino acid AbC transporter	8	A360
5706	ENOG4105DRJ	184	99	S	tonB-dependent Receptor	15	A519
5707	ENOG4105DRB	111	107	M	nucleoside-specific channel-forming protein	5	A457
5708	ENOG4105DRC	778	624	P	Na( ) H( ) antiporter that extrudes sodium in exchange for external protons (By similarity)	15	A519
5709	ENOG4106GAA	13	13	S		13	A519
5710	ENOG4106GA7	3	3	M		11	A356
5711	ENOG4108JH7	2	2	S	Bacterial protein of unknown function (DUF939)	9	A356
5712	ENOG4108JHU	2	2	K	XRE family Transcriptional regulator	3	A492
5713	ENOG4107A5S	4	3	S	Heat induced stress protein YflT	6	A519
5714	ENOG4107A5F	3	3	S		13	A519
5715	ENOG410624H	14	14	S	Pfam:TRF2	10	A502
5716	ENOG410624M	7	7	S		7	A457
5717	ENOG410624G	7	7	S	radical SAM domain protein	11	A492
5718	ENOG4107R9A	4	4	C	Aldo keto reductase	13	A502
5719	ENOG4107R9D	11	11	M	glycosyl transferase family	9	A502
5720	ENOG4107R92	46	46	M	epimerase dehydratase	15	A492
5721	ENOG4107R97	8	7	S	DHH family	13	A502
5722	ENOG410741T	3	3	S		11	A356
5723	ENOG410741X	2	2	L		13	A492
5724	ENOG4107QRR	14	11	E	aspartate	15	A519
5725	ENOG4107N2I	59	58	M	Outer membrane efflux protein	15	A519
5726	ENOG4107N2F	6	6	S	Imelysin	14	A519
5727	ENOG4105NHE	134	48	L	transposase	14	A492
5728	ENOG41087HQ	2	2	S		7	A519
5729	ENOG4107HVW	6	6	S	Pfam:DUF990	7	A361
5730	ENOG4108V3U	41	41	S	Membrane	13	A502
5731	ENOG4108V31	20	10	S	Glucan-binding domain-containing protein	14	A502
5732	ENOG4105X4U	16	14	S		13	A360
5733	ENOG4107VN0	27	25	S	succinylglutamate desuccinylase aspartoacylase	13	A492
5734	ENOG4107VN7	8	8	M	Outer membrane efflux protein	15	A519
5735	ENOG4107VNB	3	3	D	CobQ/CobB/MinD/ParA nucleotide binding domain	8	A457
5736	ENOG4107VNF	22	22	S	filamentation induced by cAMP protein Fic	15	A519
5737	ENOG4107VNI	128	127	J	ribosomal protein l10	15	A519
5738	ENOG4108PN4	8	8	S		11	A519
5739	ENOG4108PNR	3	3	S	Phosphoadenosine phosphosulfate reductase family	9	A492
5740	ENOG41067H3	6	6	S		4	A492
5741	ENOG41067HT	3	3	S		4	A492
5742	ENOG41061XC	10	10	S		1	A492
5743	ENOG41073WT	5	5	S		7	A457
5744	ENOG4106U4I	4	4	L	Integrase	14	A519
5745	ENOG4106M9G	3	3	T	NB-ARC domain	1	A492
5746	ENOG4105D3Y	278	259	S	Na H antiporter	12	A500
5747	ENOG4105D3D	412	404	E	Catalyzes the decarboxylation of carboxynorspermidine and carboxyspermidine (By similarity)	15	A519
5748	ENOG4105D3H	838	714	H	Catalyzes the decarboxylation of 3-octaprenyl-4-hydroxy benzoate to 2-octaprenylphenol (By similarity)	14	A457
5749	ENOG410867U	5	5	S		7	A500
5750	ENOG4108673	2	2	S	Nuclease-related domain	2	A492
5751	ENOG4108679	4	4	S	Pfam:PhdYeFM	11	A492
5752	ENOG41086D2	21	20	S		14	A492
5753	ENOG4108UNV	424	408	C	SUF system FeS assembly protein, NifU family	14	A361
5754	ENOG4108UNU	8	8	T	response regulator	13	A492
5755	ENOG4107IED	6	6	KT	LytTR	6	A361
5756	ENOG4108UN0	31	30	K	Transcriptional regulator, luxr family	15	A519
5757	ENOG4106DAG	4	4	S	Proto-chlorophyllide reductase 57 kD subunit	2	A356
5758	ENOG4106DAZ	3	3	S		2	A502
5759	ENOG4106GJX	21	18	S		12	A360
5760	ENOG4107FIB	5	5	M	Cell division and transport-associated protein TolA	1	A492
5761	ENOG4107FIK	5	4	S	Protein of unknown function (DUF1659)	7	A360
5762	ENOG4105P52	203	183	C	geranylgeranyl reductase	14	A492
5763	ENOG41075YZ	79	79	S	radical SAM domain protein	13	A457
5764	ENOG41075YR	2	2	S		9	A356
5765	ENOG41090WA	9	9	S		5	A457
5766	ENOG41090WU	119	100	E	lipolytic protein G-D-S-L family	11	A361
5767	ENOG41090WY	36	34	S	Protein of unknown function (DUF3298)	15	A519
5768	ENOG4105MVT	12	12	S		4	A519
5769	ENOG4105MV1	55	53	S	Protein of unknown function (DUF3732)	14	A500
5770	ENOG4105MV9	28	23	S		13	A502
5771	ENOG41089TA	55	54	EG	Membrane	15	A519
5772	ENOG41070Z2	3	3	S		6	A502
5773	ENOG41070Z5	2	2	S		7	A519
5774	ENOG4106UJ6	3	3	S		2	A360
5775	ENOG4106UJJ	2	2	S		13	A519
5776	ENOG4106UJM	4	4	E	Peptidase family S51	14	A502
5777	ENOG4106UJN	3	2	S		6	A519
5778	ENOG4105HYI	11	8	UW	Inherit from COG: domain protein	10	A356
5779	ENOG4105HYQ	17	16	S		7	A502
5780	ENOG4105HYP	7	7	S		3	A519
5781	ENOG4105WWT	4	4	S		4	A361
5782	ENOG4108FQA	13	13	H	uba thif-type nad fad binding protein	13	A519
5783	ENOG4105V74	28	27	S	Curli production assembly transport component	4	A502
5784	ENOG4105TKW	3	3	S	Pilus assembly protein, PilP	2	A356
5785	ENOG4105QHX	16	15	S		14	A519
5786	ENOG4108R55	7	7	S	aaa ATPase	4	A519
5787	ENOG4106A5E	5	5	S		4	A457
5788	ENOG4106A58	67	67	S		15	A519
5789	ENOG4108VD4	155	141	S	(ATPase)-like protein	8	A519
5790	ENOG410656Q	12	11	S		10	A492
5791	ENOG41087V5	2	2	P	Heavy-metal-associated domain	1	A519
5792	ENOG4108KSU	5	5	S	SusD family	11	A519
5793	ENOG4106NP2	4	4	S		7	A519
5794	ENOG4106NP6	3	3	S		13	A519
5795	ENOG4108M71	39	37	S		13	A502
5796	ENOG4108M7W	42	40	S		12	A492
5797	ENOG4108M7K	45	40	S		15	A502
5798	ENOG4108M7D	63	60	S	Membrane Associated	13	A356
5799	ENOG4108M7G	43	42	L	CRISPR-associated protein Cas5	9	A492
5800	ENOG4108M7A	17	16	S		15	A519
5801	ENOG4108P36	42	34	S	peptidase, S41	10	A519
5802	ENOG4108TNB	25	24	S	Endonuclease Exonuclease phosphatase	12	A519
5803	ENOG41067S4	923	677	U	Part of the twin-arginine translocation (Tat) system that transports large folded proteins containing a characteristic twin-arginine motif in their signal peptide across membranes. TatA could form the protein-conducting channel of the Tat system (By similarity)	15	A519
5804	ENOG4105CUY	314	292	M	Mechanosensitive ion channel	15	A519
5805	ENOG4105CUF	187	163	P	tonB-dependent Receptor	15	A519
5806	ENOG4105CUC	220	158	O	YeeE YedE family protein	5	A519
5807	ENOG4105CUK	194	151	G	Alpha-N-arabinofuranosidase (EC 3.2.1.55)	15	A492
5808	ENOG4105CU1	287	253	Q	amidohydrolase	14	A500
5809	ENOG4105CU8	119	107	S	Endonuclease Exonuclease phosphatase	5	A356
5810	ENOG41073HK	2	2	S		12	A502
5811	ENOG41068FJ	5	5	S		13	A492
5812	ENOG41068FE	50	25	L	Maturase	15	A492
5813	ENOG41068FU	9	3	S		3	A519
5814	ENOG41068FW	13	13	P	transporter, cpa2 family	12	A519
